company_name,year,pdf_url_original
한진칼,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_180640_2-1#page=6
한화,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000880_2-1#page=6-8
한화생명,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_088350_2-1#page=5
한화손해보험,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000370_2-1#page=90,B"
한화솔루션,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_009830_2-1#page=6,9"
한화시스템,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_272210_2-1#page=5,8,75"
한화에어로스페이스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_012450_2-1#page=6-8
한화투자증권,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003530_2-1#page=6
현대건설,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000720_2-1#page=6
현대글로비스,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_086280_2-1#page=6,9,10"
현대로템,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_064350_2-1#page=4
현대모비스,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_012330_2-1#page=5,7,29"
현대백화점,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_069960_2-1#page=6
현대비앤지스틸,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004560_2-1#page=6
현대엘리베이터,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_017800_2-1#page=7,8"
현대오토에버,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_307950_2-1#page=13
현대위아,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_011210_2-1#page=7,14,71"
현대자동차,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_005380_2-1#page=120
현대제철,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004020_2-1#page=7,8,B"
현대홈쇼핑,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_057050_2-1#page=2,9"
효성,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_004800_2-1#page=5,6,7,9,11,13"
효성중공업,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_298040_2-1#page=5,6,7,9,11,13"
효성첨단소재,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_298050_2-1#page=5
효성티앤씨,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_298020_2-1#page=5,6,7,9,11,13"
효성화학,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_298000_2-1#page=5,6,7,9,11,13"
휠라홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_081660_2-1#page=13
